chunk_size,overlap,n_chunks,system,MRR,Hit@1,Hit@3,MAP
200,40,13390,BM25,0.23381151762389388,0.125,0.2916666666666667,0.04244696928576938
200,40,13390,Bi-encoder,0.21681289812276203,0.125,0.20833333333333334,0.06735162811479785
200,40,13390,Cross-encoder,0.2573135138380463,0.08333333333333333,0.375,0.04762301763531382
200,40,13390,Dense+Rerank,0.27332252112210886,0.16666666666666666,0.25,0.0541545938434542
434,86,6210,BM25,0.34840620348722046,0.25,0.3333333333333333,0.08081848851186907
434,86,6210,Bi-encoder,0.19530067895905978,0.08333333333333333,0.16666666666666666,0.08487217350200414
434,86,6210,Cross-encoder,0.309558122671609,0.20833333333333334,0.3333333333333333,0.07030575460381458
434,86,6210,Dense+Rerank,0.27828172791743716,0.16666666666666666,0.2916666666666667,0.06602120927173764
638,127,4237,BM25,0.3424658152227602,0.20833333333333334,0.4166666666666667,0.1027210864105431
638,127,4237,Bi-encoder,0.29340971854471176,0.08333333333333333,0.4166666666666667,0.11073335019956798
638,127,4237,Cross-encoder,0.2752985159163763,0.125,0.3333333333333333,0.10649203666408341
638,127,4237,Dense+Rerank,0.3161280808398346,0.20833333333333334,0.3333333333333333,0.10489464166906415
940,188,2881,BM25,0.36669731278429735,0.25,0.4166666666666667,0.12472184420967554
940,188,2881,Bi-encoder,0.20095490917024383,0.08333333333333333,0.20833333333333334,0.12089550125003534
940,188,2881,Cross-encoder,0.37308151030130515,0.20833333333333334,0.4583333333333333,0.12189226820948018
940,188,2881,Dense+Rerank,0.32720940885550925,0.16666666666666666,0.4166666666666667,0.12087311467403174
1384,276,1958,BM25,0.3656151286197418,0.20833333333333334,0.5,0.1641239911066053
1384,276,1958,Bi-encoder,0.23439855232414006,0.08333333333333333,0.3333333333333333,0.12555415460723848
1384,276,1958,Cross-encoder,0.5374186322818638,0.4583333333333333,0.5416666666666666,0.15508648771297856
1384,276,1958,Dense+Rerank,0.35361521929703904,0.20833333333333334,0.4166666666666667,0.13248004391768065
3000,600,904,BM25,0.4549459100203148,0.2916666666666667,0.625,0.18474798029705167
3000,600,904,Bi-encoder,0.2694409619360554,0.125,0.2916666666666667,0.13269375413704584
3000,600,904,Cross-encoder,0.4217875122410662,0.3333333333333333,0.4166666666666667,0.15428594583072797
3000,600,904,Dense+Rerank,0.4198066715250439,0.2916666666666667,0.4583333333333333,0.1408686798138903
