n_positives,P@5,R@5,P@10,R@10,P@20,R@20,AP,MRR,Hit@1,Hit@3,system,label
14,0.2,0.07142857142857142,0.1,0.07142857142857142,0.15,0.21428571428571427,0.079903952315544,0.25,0,0,BM25,Adaptation
22,0.2,0.045454545454545456,0.1,0.045454545454545456,0.05,0.045454545454545456,0.034960032562270205,0.3333333333333333,0,1,BM25,Assessment
42,1.0,0.11904761904761904,0.7,0.16666666666666666,0.6,0.2857142857142857,0.42442879355047947,1.0,1,1,BM25,Climate change
25,0.0,0.0,0.0,0.0,0.0,0.0,0.008750202638849944,0.006802721088435374,0,0,BM25,Coherence
53,0.0,0.0,0.0,0.0,0.0,0.0,0.04599976309609214,0.030303030303030304,0,0,BM25,Conservation
7,0.6,0.42857142857142855,0.6,0.8571428571428571,0.3,0.8571428571428571,0.6162817758682421,1.0,1,1,BM25,Fisheries management
44,0.2,0.022727272727272728,0.2,0.045454545454545456,0.15,0.06818181818181818,0.051937423367600946,0.2,0,0,BM25,Framework
8,0.0,0.0,0.1,0.125,0.1,0.25,0.1293898073055237,0.16666666666666666,0,0,BM25,Greenery
27,0.0,0.0,0.2,0.07407407407407407,0.1,0.07407407407407407,0.037874253716098844,0.16666666666666666,0,0,BM25,Heritage inclusion
12,0.0,0.0,0.2,0.16666666666666666,0.1,0.16666666666666666,0.08107098149232538,0.16666666666666666,0,0,BM25,Human activities
63,0.0,0.0,0.1,0.015873015873015872,0.15,0.047619047619047616,0.1109061108041473,0.16666666666666666,0,0,BM25,Knowledge transfer
34,0.0,0.0,0.0,0.0,0.05,0.029411764705882353,0.05047963002945257,0.06666666666666667,0,0,BM25,Legislation
4,0.0,0.0,0.0,0.0,0.0,0.0,0.00862662590377979,0.012195121951219513,0,0,BM25,Limited heritage inclusion
5,0.2,0.2,0.3,0.6,0.15,0.6,0.2590851063829787,0.5,0,1,BM25,Management variation
2,0.0,0.0,0.1,0.5,0.1,1.0,0.12692307692307692,0.1,0,0,BM25,Maritime management
32,0.4,0.0625,0.2,0.0625,0.2,0.125,0.08456608594155769,0.3333333333333333,0,1,BM25,Monitoring
18,0.0,0.0,0.0,0.0,0.0,0.0,0.015070010119153801,0.0125,0,0,BM25,Multi-level management
6,0.0,0.0,0.0,0.0,0.0,0.0,0.003494949078671475,0.007246376811594203,0,0,BM25,Prohibition
23,0.0,0.0,0.0,0.0,0.0,0.0,0.01415524291104157,0.008333333333333333,0,0,BM25,Research
1,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.006329113924050633,0,0,BM25,Research gap
5,0.2,0.2,0.1,0.2,0.05,0.2,0.21732421718052017,1.0,1,1,BM25,Restoration
2,0.2,0.5,0.1,0.5,0.1,1.0,0.5833333333333334,1.0,1,1,BM25,Soil subsidence
39,0.4,0.05128205128205128,0.2,0.05128205128205128,0.1,0.05128205128205128,0.07487359300818597,1.0,1,1,BM25,Stakeholder collaboration
40,0.0,0.0,0.0,0.0,0.1,0.05,0.059249857287422644,0.09090909090909091,0,0,BM25,Water management
14,0.0,0.0,0.1,0.07142857142857142,0.1,0.14285714285714285,0.0708538680883206,0.16666666666666666,0,0,Bi-encoder,Adaptation
22,0.0,0.0,0.0,0.0,0.0,0.0,0.026865377588596487,0.045454545454545456,0,0,Bi-encoder,Assessment
42,0.4,0.047619047619047616,0.4,0.09523809523809523,0.25,0.11904761904761904,0.22714489108332706,1.0,1,1,Bi-encoder,Climate change
25,0.0,0.0,0.0,0.0,0.0,0.0,0.01514639784192129,0.009174311926605505,0,0,Bi-encoder,Coherence
53,0.0,0.0,0.0,0.0,0.0,0.0,0.032081785618805835,0.016129032258064516,0,0,Bi-encoder,Conservation
7,1.0,0.7142857142857143,0.6,0.8571428571428571,0.3,0.8571428571428571,0.8454545454545455,1.0,1,1,Bi-encoder,Fisheries management
44,0.0,0.0,0.0,0.0,0.15,0.06818181818181818,0.06844485626059137,0.09090909090909091,0,0,Bi-encoder,Framework
8,0.0,0.0,0.1,0.125,0.05,0.125,0.03997516009951259,0.125,0,0,Bi-encoder,Greenery
27,0.0,0.0,0.0,0.0,0.0,0.0,0.027543999715860502,0.027777777777777776,0,0,Bi-encoder,Heritage inclusion
12,0.0,0.0,0.0,0.0,0.0,0.0,0.06072961751768204,0.041666666666666664,0,0,Bi-encoder,Human activities
63,0.0,0.0,0.2,0.031746031746031744,0.15,0.047619047619047616,0.06085701306844151,0.14285714285714285,0,0,Bi-encoder,Knowledge transfer
34,0.0,0.0,0.1,0.029411764705882353,0.15,0.08823529411764706,0.07429071511024371,0.1111111111111111,0,0,Bi-encoder,Legislation
4,0.0,0.0,0.0,0.0,0.0,0.0,0.003998520641195839,0.003105590062111801,0,0,Bi-encoder,Limited heritage inclusion
5,0.0,0.0,0.0,0.0,0.0,0.0,0.00964908667620791,0.014705882352941176,0,0,Bi-encoder,Management variation
2,0.2,0.5,0.2,1.0,0.1,1.0,0.6428571428571428,1.0,1,1,Bi-encoder,Maritime management
32,0.0,0.0,0.0,0.0,0.0,0.0,0.029261017188810114,0.03225806451612903,0,0,Bi-encoder,Monitoring
18,0.0,0.0,0.0,0.0,0.05,0.05555555555555555,0.06205169236987898,0.0625,0,0,Bi-encoder,Multi-level management
6,0.0,0.0,0.0,0.0,0.0,0.0,0.002245257529681696,0.0013315579227696406,0,0,Bi-encoder,Prohibition
23,0.2,0.043478260869565216,0.1,0.043478260869565216,0.1,0.08695652173913043,0.057450383031328704,0.3333333333333333,0,1,Bi-encoder,Research
1,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.006329113924050633,0,0,Bi-encoder,Research gap
5,0.0,0.0,0.0,0.0,0.05,0.2,0.030854734946822747,0.06666666666666667,0,0,Bi-encoder,Restoration
2,0.2,0.5,0.1,0.5,0.1,1.0,0.5833333333333334,1.0,1,1,Bi-encoder,Soil subsidence
39,0.0,0.0,0.0,0.0,0.05,0.02564102564102564,0.05728027275660814,0.05555555555555555,0,0,Bi-encoder,Stakeholder collaboration
40,0.0,0.0,0.1,0.025,0.1,0.05,0.08588120197389806,0.16666666666666666,0,0,Bi-encoder,Water management
