system,mp_index,MAP,n_labels
BM25,0,0.15508541874917903,11
BM25,1,0.16961109719751202,12
BM25,2,0.14254407832474786,10
BM25,3,0.09897988846678385,13
BM25,4,0.2042763678907549,21
BM25,5,0.16012461552192384,13
BM25,6,0.09599689662189662,4
BM25,7,0.39395421083368654,8
BM25,8,0.14332054255950108,13
BM25,10,0.2517496319446172,10
Bi-encoder,0,0.0613285623102362,11
Bi-encoder,1,0.12127674747504447,12
Bi-encoder,2,0.17799456559989163,10
Bi-encoder,3,0.08229725732327045,13
Bi-encoder,4,0.21876605688871903,21
Bi-encoder,5,0.07230371064585353,13
Bi-encoder,6,0.09716214772985168,4
Bi-encoder,7,0.3679925892709983,8
Bi-encoder,8,0.2029875229226593,13
Bi-encoder,10,0.20936256062448116,10
Dense + Rerank,0,0.08115829066269183,11
Dense + Rerank,1,0.16223243530573228,12
Dense + Rerank,2,0.17561361321893923,10
Dense + Rerank,3,0.08289086797327208,13
Dense + Rerank,4,0.20582422975452067,21
Dense + Rerank,5,0.06680920515134804,13
Dense + Rerank,6,0.09716214772985168,4
Dense + Rerank,7,0.3679925892709983,8
Dense + Rerank,8,0.22862854856368495,13
Dense + Rerank,10,0.23302922729114783,10
Cross-encoder,0,0.12816496944821568,11
Cross-encoder,1,0.1471969713099386,12
Cross-encoder,2,0.17784092768915463,10
Cross-encoder,3,0.12406433074433566,13
Cross-encoder,4,0.24022693447449187,21
Cross-encoder,5,0.12366809534889497,13
Cross-encoder,6,0.08552832938254232,4
Cross-encoder,7,0.31608771173786654,8
Cross-encoder,8,0.1889451781299156,13
Cross-encoder,10,0.35334825331086334,10
