chunk_size,overlap,n_chunks,system,MRR,Hit@1,Hit@3,MAP
200,40,13390,BM25,0.2338115176238938,0.125,0.2916666666666667,0.0424469692857693
200,40,13390,Bi-encoder,0.216812898122762,0.125,0.2083333333333333,0.0673516281147978
200,40,13390,Cross-encoder,0.2573135138380463,0.0833333333333333,0.375,0.0476230176353138
200,40,13390,Dense+Rerank,0.2733225211221088,0.1666666666666666,0.25,0.0541545938434542
434,86,6210,BM25,0.3484062034872204,0.25,0.3333333333333333,0.080818488511869
434,86,6210,Bi-encoder,0.1953006789590597,0.0833333333333333,0.1666666666666666,0.0848721735020041
434,86,6210,Cross-encoder,0.309558122671609,0.2083333333333333,0.3333333333333333,0.0703057546038145
434,86,6210,Dense+Rerank,0.2782817279174371,0.1666666666666666,0.2916666666666667,0.0660212092717376
638,127,4237,BM25,0.3424658152227602,0.2083333333333333,0.4166666666666667,0.1027210864105431
638,127,4237,Bi-encoder,0.2934097185447117,0.0833333333333333,0.4166666666666667,0.1107333501995679
638,127,4237,Cross-encoder,0.2752985159163763,0.125,0.3333333333333333,0.1064920366640834
638,127,4237,Dense+Rerank,0.3161280808398346,0.2083333333333333,0.3333333333333333,0.1048946416690641
940,188,2881,BM25,0.3666973127842973,0.25,0.4166666666666667,0.1247218442096755
940,188,2881,Bi-encoder,0.2009549091702438,0.0833333333333333,0.2083333333333333,0.1208955012500353
940,188,2881,Cross-encoder,0.3730815103013051,0.2083333333333333,0.4583333333333333,0.1218922682094801
940,188,2881,Dense+Rerank,0.3272094088555092,0.1666666666666666,0.4166666666666667,0.1208731146740317
1384,276,1958,BM25,0.3656151286197418,0.2083333333333333,0.5,0.1641239911066053
1384,276,1958,Bi-encoder,0.23439855232414,0.0833333333333333,0.3333333333333333,0.1255541546072384
1384,276,1958,Cross-encoder,0.5374186322818638,0.4583333333333333,0.5416666666666666,0.1550864877129785
1384,276,1958,Dense+Rerank,0.353615219297039,0.2083333333333333,0.4166666666666667,0.1324800439176806
3000,600,904,BM25,0.4549459100203148,0.2916666666666667,0.625,0.1847479802970516
3000,600,904,Bi-encoder,0.2694409619360554,0.125,0.2916666666666667,0.1326937541370458
3000,600,904,Cross-encoder,0.4217875122410662,0.3333333333333333,0.4166666666666667,0.1542859458307279
3000,600,904,Dense+Rerank,0.4198066715250439,0.2916666666666667,0.4583333333333333,0.1408686798138903
