metric,comparison,delta,ci_lo,ci_hi,excludes_zero
MRR,CE - BM25,0.1347,0.0265,0.2645,True
MRR,CE - Bi-encoder,0.2224,0.0721,0.3869,True
MRR,CE - Dense + Rerank,0.0926,-0.0444,0.2494,False
Hit@1,CE - BM25,0.0833,-0.0833,0.25,False
Hit@1,CE - Bi-encoder,0.125,-0.0417,0.2917,False
Hit@1,CE - Dense + Rerank,0.0833,-0.0833,0.25,False
Hit@3,CE - BM25,0.2083,0.0,0.4167,False
Hit@3,CE - Bi-encoder,0.3333,0.125,0.5417,True
Hit@3,CE - Dense + Rerank,0.0417,-0.1667,0.25,False
MAP,CE - BM25,0.0058,-0.0499,0.0603,False
MAP,CE - Bi-encoder,0.006,-0.0686,0.0648,False
MAP,CE - Dense + Rerank,0.0186,-0.0167,0.0587,False
