system,label,n_positives,Hit@1,R@1,Hit@3,R@3,Hit@5,R@5,Hit@10,R@10,Hit@20,R@20,Hit@50,R@50,Hit@100,R@100
BM25,Adaptation,14,0,0.0,0,0.0,1,0.0714,1,0.0714,1,0.2143,1,0.3571,1,0.4286
BM25,Assessment,22,0,0.0,1,0.0455,1,0.0455,1,0.0455,1,0.0455,1,0.0455,1,0.1818
BM25,Climate change,42,1,0.0238,1,0.0714,1,0.119,1,0.1667,1,0.2857,1,0.5,1,0.619
BM25,Coherence,25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BM25,Conservation,53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0755,1,0.1321
BM25,Fisheries management,7,1,0.1429,1,0.2857,1,0.4286,1,0.8571,1,0.8571,1,1.0,1,1.0
BM25,Framework,44,0,0.0,0,0.0,1,0.0227,1,0.0455,1,0.0682,1,0.1364,1,0.1818
BM25,Greenery,8,0,0.0,0,0.0,0,0.0,1,0.125,1,0.25,1,0.75,1,0.875
BM25,Heritage inclusion,27,0,0.0,0,0.0,0,0.0,1,0.0741,1,0.0741,1,0.0741,1,0.1852
BM25,Human activities,12,0,0.0,0,0.0,0,0.0,1,0.1667,1,0.1667,1,0.4167,1,0.4167
BM25,Knowledge transfer,63,0,0.0,0,0.0,0,0.0,1,0.0159,1,0.0476,1,0.1746,1,0.2698
BM25,Legislation,34,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0294,1,0.0882,1,0.2353
BM25,Limited heritage inclusion,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.25
BM25,Management variation,5,0,0.0,1,0.2,1,0.2,1,0.6,1,0.6,1,0.8,1,0.8
BM25,Maritime management,2,0,0.0,0,0.0,0,0.0,1,0.5,1,1.0,1,1.0,1,1.0
BM25,Monitoring,32,0,0.0,1,0.0312,1,0.0625,1,0.0625,1,0.125,1,0.1875,1,0.2812
BM25,Multi-level management,18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1111
BM25,Prohibition,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BM25,Research,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BM25,Research gap,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BM25,Restoration,5,1,0.2,1,0.2,1,0.2,1,0.2,1,0.2,1,0.4,1,0.4
BM25,Soil subsidence,2,1,0.5,1,0.5,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0
BM25,Stakeholder collaboration,39,1,0.0256,1,0.0256,1,0.0513,1,0.0513,1,0.0513,1,0.1026,1,0.1538
BM25,Water management,40,0,0.0,0,0.0,0,0.0,0,0.0,1,0.05,1,0.1,1,0.225
Bi-encoder,Adaptation,14,0,0.0,0,0.0,0,0.0,1,0.0714,1,0.1429,1,0.3571,1,0.5
Bi-encoder,Assessment,22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1364,1,0.1818
Bi-encoder,Climate change,42,1,0.0238,1,0.0476,1,0.0476,1,0.0952,1,0.119,1,0.3333,1,0.5238
Bi-encoder,Coherence,25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bi-encoder,Conservation,53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1132
Bi-encoder,Fisheries management,7,1,0.1429,1,0.4286,1,0.7143,1,0.8571,1,0.8571,1,1.0,1,1.0
Bi-encoder,Framework,44,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0682,1,0.1364,1,0.2273
Bi-encoder,Greenery,8,0,0.0,0,0.0,0,0.0,1,0.125,1,0.125,1,0.25,1,0.375
Bi-encoder,Heritage inclusion,27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1111,1,0.1852
Bi-encoder,Human activities,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1667,1,0.5833
Bi-encoder,Knowledge transfer,63,0,0.0,0,0.0,0,0.0,1,0.0317,1,0.0476,1,0.0635,1,0.1111
Bi-encoder,Legislation,34,0,0.0,0,0.0,0,0.0,1,0.0294,1,0.0882,1,0.1471,1,0.2647
Bi-encoder,Limited heritage inclusion,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bi-encoder,Management variation,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.4
Bi-encoder,Maritime management,2,1,0.5,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0,1,1.0
Bi-encoder,Monitoring,32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0625,1,0.2188
Bi-encoder,Multi-level management,18,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0556,1,0.2778,1,0.3889
Bi-encoder,Prohibition,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bi-encoder,Research,23,0,0.0,1,0.0435,1,0.0435,1,0.0435,1,0.087,1,0.1304,1,0.2609
Bi-encoder,Research gap,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bi-encoder,Restoration,5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,1,0.2,1,0.4
Bi-encoder,Soil subsidence,2,1,0.5,1,0.5,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0
Bi-encoder,Stakeholder collaboration,39,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0256,1,0.1282,1,0.1795
Bi-encoder,Water management,40,0,0.0,0,0.0,0,0.0,1,0.025,1,0.05,1,0.175,1,0.275
Dense + Rerank,Adaptation,14,0,0.0,1,0.0714,1,0.1429,1,0.1429,1,0.2143,1,0.3571,1,0.5
Dense + Rerank,Assessment,22,1,0.0455,1,0.0455,1,0.0455,1,0.0909,1,0.0909,1,0.1364,1,0.1818
Dense + Rerank,Climate change,42,1,0.0238,1,0.0714,1,0.0952,1,0.119,1,0.2143,1,0.3333,1,0.5238
Dense + Rerank,Coherence,25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Dense + Rerank,Conservation,53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1132
Dense + Rerank,Fisheries management,7,1,0.1429,1,0.1429,1,0.1429,1,0.1429,1,0.5714,1,1.0,1,1.0
Dense + Rerank,Framework,44,0,0.0,1,0.0227,1,0.0455,1,0.0455,1,0.0909,1,0.1364,1,0.2273
Dense + Rerank,Greenery,8,0,0.0,1,0.125,1,0.125,1,0.25,1,0.25,1,0.25,1,0.375
Dense + Rerank,Heritage inclusion,27,0,0.0,1,0.037,1,0.037,1,0.037,1,0.0741,1,0.1111,1,0.1852
Dense + Rerank,Human activities,12,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0833,1,0.1667,1,0.5833
Dense + Rerank,Knowledge transfer,63,0,0.0,0,0.0,1,0.0159,1,0.0159,1,0.0317,1,0.0635,1,0.1111
Dense + Rerank,Legislation,34,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0588,1,0.1471,1,0.2647
Dense + Rerank,Limited heritage inclusion,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Dense + Rerank,Management variation,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.4
Dense + Rerank,Maritime management,2,0,0.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
Dense + Rerank,Monitoring,32,0,0.0,0,0.0,1,0.0312,1,0.0312,1,0.0312,1,0.0625,1,0.2188
Dense + Rerank,Multi-level management,18,0,0.0,1,0.0556,1,0.0556,1,0.1111,1,0.2222,1,0.2778,1,0.3889
Dense + Rerank,Prohibition,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Dense + Rerank,Research,23,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0435,1,0.1304,1,0.2609
Dense + Rerank,Research gap,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Dense + Rerank,Restoration,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,1,0.4
Dense + Rerank,Soil subsidence,2,1,0.5,1,0.5,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0
Dense + Rerank,Stakeholder collaboration,39,1,0.0256,1,0.0256,1,0.0256,1,0.0256,1,0.0256,1,0.1282,1,0.1795
Dense + Rerank,Water management,40,0,0.0,1,0.025,1,0.025,1,0.025,1,0.075,1,0.175,1,0.275
Cross-encoder,Adaptation,14,0,0.0,1,0.0714,1,0.1429,1,0.1429,1,0.1429,1,0.2143,1,0.3571
Cross-encoder,Assessment,22,0,0.0,1,0.0455,1,0.0455,1,0.0455,1,0.0455,1,0.0909,1,0.0909
Cross-encoder,Climate change,42,1,0.0238,1,0.0714,1,0.119,1,0.1667,1,0.1905,1,0.2857,1,0.4048
Cross-encoder,Coherence,25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cross-encoder,Conservation,53,0,0.0,0,0.0,0,0.0,1,0.0189,1,0.0566,1,0.0755,1,0.1509
Cross-encoder,Fisheries management,7,1,0.1429,1,0.1429,1,0.1429,1,0.1429,1,0.1429,1,0.1429,1,0.5714
Cross-encoder,Framework,44,0,0.0,1,0.0227,1,0.0227,1,0.0455,1,0.0682,1,0.0909,1,0.1364
Cross-encoder,Greenery,8,0,0.0,0,0.0,1,0.125,1,0.25,1,0.5,1,0.75,1,0.875
Cross-encoder,Heritage inclusion,27,0,0.0,1,0.037,1,0.037,1,0.037,1,0.037,1,0.0741,1,0.2222
Cross-encoder,Human activities,12,1,0.0833,1,0.0833,1,0.0833,1,0.0833,1,0.0833,1,0.5,1,0.75
Cross-encoder,Knowledge transfer,63,0,0.0,0,0.0,0,0.0,1,0.0159,1,0.0317,1,0.1429,1,0.2222
Cross-encoder,Legislation,34,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0294,1,0.0294,1,0.2059
Cross-encoder,Limited heritage inclusion,4,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25
Cross-encoder,Management variation,5,1,0.2,1,0.2,1,0.2,1,0.2,1,0.2,1,0.4,1,0.4
Cross-encoder,Maritime management,2,0,0.0,1,0.5,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
Cross-encoder,Monitoring,32,0,0.0,0,0.0,1,0.0312,1,0.0625,1,0.0625,1,0.0938,1,0.1875
Cross-encoder,Multi-level management,18,0,0.0,0,0.0,0,0.0,1,0.0556,1,0.0556,1,0.2778,1,0.3333
Cross-encoder,Prohibition,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cross-encoder,Research,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0435,1,0.087
Cross-encoder,Research gap,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cross-encoder,Restoration,5,0,0.0,1,0.2,1,0.4,1,0.4,1,0.6,1,0.6,1,0.6
Cross-encoder,Soil subsidence,2,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,1,1.0,1,1.0
Cross-encoder,Stakeholder collaboration,39,1,0.0256,1,0.0256,1,0.0256,1,0.0256,1,0.0256,1,0.0513,1,0.0769
Cross-encoder,Water management,40,0,0.0,0,0.0,1,0.025,1,0.025,1,0.075,1,0.1,1,0.175
