system,label,n_positives,Hit@1,R@1,Hit@3,R@3,Hit@5,R@5,Hit@10,R@10,Hit@20,R@20,Hit@50,R@50,Hit@100,R@100,variant
BM25,Adaptation,14,0,0.0,0,0.0,0,0.0,1,0.0714,1,0.1429,1,0.3571,1,0.4286,name_only
BM25,Assessment,22,0,0.0,1,0.0455,1,0.0455,1,0.0455,1,0.1818,1,0.2273,1,0.2273,name_only
BM25,Climate change,42,1,0.0238,1,0.0238,1,0.0476,1,0.0476,1,0.1429,1,0.381,1,0.5952,name_only
BM25,Coherence,25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,name_only
BM25,Conservation,53,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0189,1,0.0377,1,0.0943,name_only
BM25,Fisheries management,7,1,0.1429,1,0.2857,1,0.5714,1,1.0,1,1.0,1,1.0,1,1.0,name_only
BM25,Framework,44,0,0.0,0,0.0,1,0.0227,1,0.0227,1,0.0227,1,0.0227,1,0.0455,name_only
BM25,Greenery,8,0,0.0,0,0.0,0,0.0,0,0.0,1,0.125,1,0.5,1,0.5,name_only
BM25,Heritage inclusion,27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.037,1,0.037,name_only
BM25,Human activities,12,0,0.0,0,0.0,1,0.0833,1,0.1667,1,0.1667,1,0.1667,1,0.25,name_only
BM25,Knowledge transfer,63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0952,1,0.1746,name_only
BM25,Legislation,35,1,0.0286,1,0.0571,1,0.0571,1,0.0571,1,0.0571,1,0.1143,1,0.1143,name_only
BM25,Limited heritage inclusion,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,name_only
BM25,Management variation,5,0,0.0,0,0.0,1,0.2,1,0.2,1,0.2,1,0.2,1,0.2,name_only
BM25,Maritime management,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,name_only
BM25,Monitoring,32,0,0.0,1,0.0312,1,0.0312,1,0.0312,1,0.0625,1,0.2188,1,0.4688,name_only
BM25,Multi-level management,18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1667,name_only
BM25,Prohibition,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,name_only
BM25,Research,23,0,0.0,1,0.0435,1,0.087,1,0.1304,1,0.1739,1,0.3043,1,0.3913,name_only
BM25,Research gap,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,name_only
BM25,Restoration,5,0,0.0,0,0.0,0,0.0,1,0.2,1,0.2,1,0.2,1,0.2,name_only
BM25,Soil subsidence,2,0,0.0,1,0.5,1,0.5,1,1.0,1,1.0,1,1.0,1,1.0,name_only
BM25,Stakeholder collaboration,39,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1538,1,0.2564,name_only
BM25,Water management,40,0,0.0,0,0.0,0,0.0,0,0.0,1,0.075,1,0.2,1,0.4,name_only
